Algorithm,Number of Cores,Pooling,Number of classifiers,Skuteczność,BI,AUC
MINIROCKET,250,max + ppv,80,0.8029999999999999,0.547,0.773
MINIROCKET,250,max,80,0.807,0.55,0.775
MINIROCKET,250,ppv,80,0.795,0.513,0.757
MINIROCKET,250,max + ppv,90,0.8059999999999999,0.551,0.7759999999999999
MINIROCKET,250,max,90,0.807,0.5529999999999999,0.7759999999999999
MINIROCKET,250,ppv,90,0.7959999999999999,0.519,0.759
MINIROCKET,250,max + ppv,100,0.805,0.5479999999999999,0.774
MINIROCKET,250,max,100,0.8059999999999999,0.551,0.7759999999999999
MINIROCKET,250,ppv,100,0.795,0.517,0.758
MINIROCKET,500,max + ppv,80,0.818,0.564,0.782
MINIROCKET,500,max,80,0.816,0.5579999999999999,0.779
MINIROCKET,500,ppv,80,0.809,0.534,0.767
MINIROCKET,500,max + ppv,90,0.815,0.5539999999999999,0.777
MINIROCKET,500,max,90,0.818,0.5670000000000001,0.7829999999999999
MINIROCKET,500,ppv,90,0.81,0.532,0.7659999999999999
MINIROCKET,500,max + ppv,100,0.818,0.564,0.782
MINIROCKET,500,max,100,0.818,0.563,0.7809999999999999
MINIROCKET,500,ppv,100,0.8079999999999999,0.525,0.762
MINIROCKET,1000,max + ppv,80,0.8220000000000001,0.578,0.789
MINIROCKET,1000,max,80,0.826,0.593,0.7959999999999999
MINIROCKET,1000,ppv,80,0.836,0.608,0.804
MINIROCKET,1000,max + ppv,90,0.825,0.583,0.792
MINIROCKET,1000,max,90,0.826,0.588,0.794
MINIROCKET,1000,ppv,90,0.8340000000000001,0.607,0.804
MINIROCKET,1000,max + ppv,100,0.8220000000000001,0.575,0.787
MINIROCKET,1000,max,100,0.828,0.59,0.795
MINIROCKET,1000,ppv,100,0.838,0.613,0.8059999999999999
MINIROCKET,2500,max + ppv,80,0.8140000000000001,0.563,0.7809999999999999
MINIROCKET,2500,max,80,0.813,0.5670000000000001,0.784
MINIROCKET,2500,ppv,80,0.828,0.5770000000000001,0.7879999999999999
MINIROCKET,2500,max + ppv,90,0.813,0.564,0.782
MINIROCKET,2500,max,90,0.812,0.565,0.7829999999999999
MINIROCKET,2500,ppv,90,0.83,0.585,0.792
MINIROCKET,2500,max + ppv,100,0.8140000000000001,0.569,0.785
MINIROCKET,2500,max,100,0.8109999999999999,0.56,0.78
MINIROCKET,2500,ppv,100,0.83,0.583,0.7909999999999999
MINIROCKET,5000,max + ppv,80,0.8290000000000001,0.581,0.7909999999999999
MINIROCKET,5000,max,80,0.8290000000000001,0.579,0.789
MINIROCKET,5000,ppv,80,0.84,0.612,0.8059999999999999
MINIROCKET,5000,max + ppv,90,0.828,0.578,0.789
MINIROCKET,5000,max,90,0.8290000000000001,0.5770000000000001,0.7879999999999999
MINIROCKET,5000,ppv,90,0.835,0.6,0.8
MINIROCKET,5000,max + ppv,100,0.83,0.58,0.79
MINIROCKET,5000,max,100,0.8270000000000001,0.5760000000000001,0.7879999999999999
MINIROCKET,5000,ppv,100,0.84,0.608,0.804
MINIROCKET,10000,max + ppv,80,0.8340000000000001,0.598,0.799
MINIROCKET,10000,max,80,0.836,0.604,0.802
MINIROCKET,10000,ppv,80,0.823,0.578,0.789
MINIROCKET,10000,max + ppv,90,0.8340000000000001,0.598,0.799
MINIROCKET,10000,max,90,0.835,0.597,0.799
MINIROCKET,10000,ppv,90,0.821,0.574,0.787
MINIROCKET,10000,max + ppv,100,0.8340000000000001,0.597,0.7979999999999999
MINIROCKET,10000,max,100,0.8340000000000001,0.595,0.7979999999999999
MINIROCKET,10000,ppv,100,0.8220000000000001,0.574,0.787
ROCKET,250,max + ppv,80,0.825,0.595,0.797
ROCKET,250,max,80,0.8240000000000001,0.5920000000000001,0.7959999999999999
ROCKET,250,ppv,80,0.8059999999999999,0.547,0.773
ROCKET,250,max + ppv,90,0.823,0.589,0.794
ROCKET,250,max,90,0.823,0.585,0.792
ROCKET,250,ppv,90,0.804,0.5429999999999999,0.772
ROCKET,250,max + ppv,100,0.8240000000000001,0.589,0.795
ROCKET,250,max,100,0.8240000000000001,0.59,0.795
ROCKET,250,ppv,100,0.81,0.55,0.775
ROCKET,500,max + ppv,80,0.8190000000000001,0.5820000000000001,0.7909999999999999
ROCKET,500,max,80,0.821,0.5870000000000001,0.794
ROCKET,500,ppv,80,0.81,0.546,0.773
ROCKET,500,max + ppv,90,0.821,0.588,0.794
ROCKET,500,max,90,0.8190000000000001,0.58,0.79
ROCKET,500,ppv,90,0.809,0.547,0.773
ROCKET,500,max + ppv,100,0.821,0.591,0.795
ROCKET,500,max,100,0.82,0.584,0.792
ROCKET,500,ppv,100,0.807,0.542,0.7709999999999999
ROCKET,1000,max + ppv,80,0.8270000000000001,0.595,0.797
ROCKET,1000,max,80,0.833,0.604,0.802
ROCKET,1000,ppv,80,0.8140000000000001,0.563,0.782
ROCKET,1000,max + ppv,90,0.828,0.595,0.797
ROCKET,1000,max,90,0.828,0.593,0.7959999999999999
ROCKET,1000,ppv,90,0.818,0.5720000000000001,0.7859999999999999
ROCKET,1000,max + ppv,100,0.828,0.593,0.7959999999999999
ROCKET,1000,max,100,0.8240000000000001,0.583,0.792
ROCKET,1000,ppv,100,0.8140000000000001,0.5670000000000001,0.7829999999999999
ROCKET,2500,max + ppv,80,0.8320000000000001,0.605,0.802
ROCKET,2500,max,80,0.8290000000000001,0.599,0.799
ROCKET,2500,ppv,80,0.818,0.5660000000000001,0.7829999999999999
ROCKET,2500,max + ppv,90,0.831,0.603,0.802
ROCKET,2500,max,90,0.83,0.599,0.799
ROCKET,2500,ppv,90,0.8240000000000001,0.5770000000000001,0.7879999999999999
ROCKET,2500,max + ppv,100,0.8270000000000001,0.595,0.797
ROCKET,2500,max,100,0.828,0.598,0.799
ROCKET,2500,ppv,100,0.823,0.578,0.789
ROCKET,5000,max + ppv,80,0.8290000000000001,0.598,0.799
ROCKET,5000,max,80,0.831,0.599,0.8
ROCKET,5000,ppv,80,0.818,0.565,0.782
ROCKET,5000,max + ppv,90,0.833,0.605,0.8029999999999999
ROCKET,5000,max,90,0.828,0.597,0.799
ROCKET,5000,ppv,90,0.816,0.563,0.7809999999999999
ROCKET,5000,max + ppv,100,0.831,0.601,0.8
ROCKET,5000,max,100,0.8340000000000001,0.608,0.804
ROCKET,5000,ppv,100,0.816,0.556,0.778
ROCKET,10000,max + ppv,80,0.835,0.619,0.809
ROCKET,10000,max,80,0.836,0.613,0.8059999999999999
ROCKET,10000,ppv,80,0.818,0.5720000000000001,0.7859999999999999
ROCKET,10000,max + ppv,90,0.836,0.62,0.81
ROCKET,10000,max,90,0.8320000000000001,0.609,0.804
ROCKET,10000,ppv,90,0.826,0.5870000000000001,0.7929999999999999
ROCKET,10000,max + ppv,100,0.8320000000000001,0.608,0.804
ROCKET,10000,max,100,0.8340000000000001,0.612,0.8059999999999999
ROCKET,10000,ppv,100,0.825,0.588,0.794
